ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION,URL,COMMENTS
135,1434,8,6,,,37.5,126,"INCHON, CHEMULPO BAY, YELLOW SEA",SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Unknown,Very Doubtful Tsunami,,,0.5,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/135,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1434, August 6, validity 2. In Korea, there were waves in the region of Inch'on (Chemulpo). Rice fields were ruined. There was no earthquake. According to Imamura, these were storm waves. 
<P><blockquote><i>Reference #150:</i></blockquote> 
<P>1434, August 6, validity 0. Damage to rice fields. No quake. storm surge."
21,46,,,,,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea,Volcano,Definite Tsunami,6.2,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/21,"46 AD July 6. Thera. At the same time as an eclipse of the Moon, probably following a subdued eruption, an islet, which became known as Theia, rose up from the sea between Thera and Therasia in the Cyclades.
<P>This event is well documented by contemporary authors, including Seneca, who confirms that it happened in his own time and during the consulship of Valerius Asiaticus (AD 46). Dio Cassius dates it Roman year 800 (AD 47), while St Jerome gives the fifth year of Olympiad CCVI (AD 45), and notes the length of the island as 30 stadia (5.5 km). Orosius (writing early in the fifth century AD) dates it to the fifth year of Claudius (AD 45-46).
<P>Since Aurelis Victor mentions that it happened on the same night as a lunar eclipse, there is a chance of dating the eruption accurately. Schove and Fletcher (1987, 9-11) derive several dates, noting that the most popular is 31 December AD 46, because this would embrace both Seneca's date of AD 46 and Dio's of AD 47. However, he thinks that 6 July AD 46 is more probable because the eclipse would have been distinctly noticeable by about 8.53 pm, and consequently more likely to be recorded.
<P>One must beware of confusing this eruption with that of Hiera in 199-198 BC, since the two occurrences were very similar in nature. Pliny mentions both, but the dates in the relevant passage are notoriously unreliable. Pliny's date, 8 July of the 110th year after the fourth year of Olympiad CXLV, works out as AD 3. This is due in part to a scribal error in an early copy of Pliny's works, when many events were assigned to Olympiad CXXXV.
<P>Modern cataloguers associated this eruption with the Crete earthquake of 62-64, dating it 53/52/66. Guidoboni (1989, 661-662), Guidoboni et al. (1994, 193-194) associate this eruption at Thera with the Crete earthquake of 62-64, dating it 53/52/66 for which I have no evidence.
<P>(above from reference #9116)
<P>46 A.D. Crete. Sea withdrawal in Crete. (reference #4139)
<P>Philostratus Flavius refers that on July 6 (46) at about 12 am a violent earthquake shook Crete and the sea receded for about 1.3 km from the shoreline. (reference #9158)
<P>46 A.D. South coasts of Crete. (reference #15)
<P>46 A.D. South coasts of Crete. Earthquake 36 deg 1/4 min N, 25 deg 1/4 min E, intensity VII. (reference #20)
<P>46 A.D. Cyclades (Santorin), 36 1/2 deg N, 25 1/2 deg E. An earthquake, which triggered an explosion of Santorini,
was felt on Crete; the shock was followed by a tsunami preceded by a withdrawal of the water of about 100 m. (reference #109)
<P>46 A.D. Northern Crete. Earthquake 36.4N, 25.4E, magnitude 6.2. Eruption of Santorini volcano. (reference #330)
<P>46 A.D. South Aegean Sea. Earthquake 36 deg 24 min N, 25 deg 24 min E. Sea withdrawal. (reference #2427)
<P>62 A.D. (possibly 46 or 66). Aegean Sea, Island of Thira. The eruption of the volcano of Santorini was accompanied by an earthquake felt strongly on the Island of Crete. Considerable destruction in Knossos. The sea in Lebena on the southern coast of the Island of Crete retreated approximately 100 m from the waterline. 
Earthquake 36.5N 25E, magnitude 6.7, intensity VII, tsunami intensity iv, event validity 2. (reference #2130)"
405,1732,11,,,,39.5,20,ISLAND OF KERKYRA (CORFU),GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,2,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/405,"A rather strong underground shock took place accompanied by an extremely strong rumble from the direction of the fort ( the sea was swelled), destructive rain and by a tsunami (reference #2130)."
46,551,4,,,,38.4,22.3,ETOLIA,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.1,,4,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/46,"<P>551, April. Corinthos-Patras Gulf. 38<sup>o</sup>24' N, 22<sup>o</sup>18' E. Earthquake magnitude 7.1, tsunami intensity 4, reliability 4. Strong earthquake affecting Thessaly, the Maliakos Gulf and the Corinthiakos Gulf. The towns of Chaeronaea, Koronaea, Patras, Nauptaktos severely damaged. In the gulf between Thessaly and Boeotia there was a sudden influx of the sea at the city called Echinus and at Scarphe. The sea water advanced far over the land deluging the towns and leveling them immediately. For a long time the mainland was flooded. Then the sea returned to its proper place leaving many fishes on the ground (Procopius, reference #10840). (reference #4139)
<P>551 (possibly 552), spring or July 7. Aegean Sea, eastern Greece, Strait of Euboea (between the Island of
Euboea and the continent. The destructive earthquake embraced both coasts of the Gulf of Corinth. In the pleistoseismal zone, the earth opened and closed again, but part of the deformation of Earth's surface was conserved including an upthrust system along the northern shore of the Gulf of Corinth. Patras, Nafpaktos, Corinth, Chaeronea and other towns were destroyed. There were thousands of victims, including 4,000 people in Patras. (<i>Note: attributed to 7 July 551 event </I>)The same area as during the earthquakes on October 12, 1856, and on August 1, 1860, was shaken. In the apex of the Gulf of Maliacus, the sea suddenly rushed up the dry land and reached far inland destroying buildings in Echinos, Tarfi and in Boeotia. According to other sources the tsunami started with the drop in water level. After the water went away, fish, including rare specimens, were left stranded. The low water lasted so long that citizens had time to reach the islands located in the apex of the bay.(reference #2130)."
32,315,,,,,31.7,35.5,DEAD SEA,DEAD SEA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/32,"315. Dead Sea. Tsunami intensity III. (references #15, #20, and #23)
<P>315. I have heard of this Areopolis (when it still existed), but the whole city can vouch for the truth of my assertion, that in the time of my childhood, from the effects of a tremendous earthquake, when the sea broke over the shores of the whole earth, the walls of this town were overthrown in a single night. (reference #10520)"
4,-1365,,,,,35.683,35.8,SYRIAN COASTS,SYRIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,6,Severe (~>$5 to $24 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/4,"1365 <u>+</u> 5 B.C. Aegean Sea, Asia Minor. According to writings of Demokles, Strabo and others, strong earthquakes in Asia Minor covered the Greek regions Ionia and Lydia,
up to Troy. Many cities were wiped out in the north. Mt Sypilos was destroyed. Marshes became lakes. The tidal wave flooded Troy. (<B>Probably, these were the same events as in 1380 B.C.</B>). (reference #2130)
<P>1365 B.C. (<U>+</u>5 years) there was earthquake destruction at Ugarit (35 deg 41 min N, 35 deg 48 min E), with a probable tsunami at the Syrian coast. (reference #2815)
<P>1365 B.C. <U>+</u>5 years. Syrian coasts, Ugarit near Minet-el-Beida (tsunami intensity vi?). (references #15, #20)"
500,1770,,,,,-5,102,SW. SUMATRA,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7,,0.5,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/500,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1770, no date, 5 S, 102 E, magnitude 7. In the Bengkulu district (Sumatra Island), there was a very strong earthquake. A settlement was destroyed. The ground cracked. One of the cracks had a length of 500 m, a width of 3 1/2 m and a depth of 8 m, and from it oozed a bituminous substance. At the same time, a section of coast near the mouth of the Padang Gutongi River, which flows in the Mana district, dried up. Finally, a tidal wave occurred simultaneously with the earthquake.
<P>As Wichmann notes, the year given is tentative. The event could have coincided with the earthquake experienced at Bengkulu by Ch. Miller, who says: One earthquake, in particular, after my arrival here was very strong and did much damage in the country. The Dempo Volcano, visible
from Fort Malboro at Bengkulu and smoking almost constantly, ejected flames during the earthquake (Wichmann, 1918)."
298,1667,11,30,,,38.4,27.1,IZMIR,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,2,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/298,"November 30, 1667 (Possibly July 10, 1668) Aegean Sea, Asia Minor. A strong earthquake occurred in Izmir, 38.4 N, 27.1 E, intensity IX, magnitude 6.6, tsunami intensity 2.The sea in Izmir was stormy. (reference #2130)."
108,1273,9,,,,41.3,19.7,ALBANIAN COASTS,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/108,"1273 September (March). Adriatic Sea, Albania, Durres. Tsunami. (reference #2130)"
8,-525,,,,,33.56,35.37,LEBANON COASTS,LEBANON,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/8,"525 B.C. Levantian Sea, Near East, Saida. Tsunami, intensity of tsunami ii-iii. Event validity 2. (reference #2130).
<P>525 B.C. Coasts of Lebanon, Saida (Sidon). No mention of a seismic sea-wave by chroniclers who describe the earthquake. (reference #15, #20)"
7,-590,,,,,33.27,35.22,LEBANON COASTS,LEBANON,Mediterranean Sea,Earthquake,Questionable Tsunami,,,6,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/7,"590 B.C. Levantian Sea, Near East. Possibly, tsunami. Event validity 2. Tsunami intensity iv. (reference #2130).
<P>590 B.C. Coasts of Lebanon. Sur (Tyre) (tsunami intensity vi?). (references #15, 20)"
72,863,7,10,,,37.1,138,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7,,2,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Many (~101 to 1000 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/72,"July 10, 863, 37.1 N 138 E, magnitude 7. Landslide. Several inlets disappeared. Many houses destroyed and many deaths. Enormous amounts of water gushed out. (reference #150)"
468,1761,3,31,12,1,34.5,-13,SW PORTUGAL,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Probable Tsunami,8.5,,2,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/468,"1761, March 31, 12:01 am. 34.5 N, 13 W, tsunami magnitude 8.5. Earthquake at Lisbon,(Reference #3952)
<P>1761, March 31, 12:05 am. 37 N, 10 W, intensity IX. (Reference #537)
<P>At Lisbon, the agitation of the sea was very great, the
water rising and falling many feet vertically. Ships at anchor in the river, though riding in some fathoms of water, were left dry at intervals. According to another account, the sea began to fall and rise about 13 hr. after the earthquake, about 8 ft. vertically; the movements continued until night.<P>At Penzance, about 5 p.m., the sea rose suddenly about 6 ft. five times within one hour. At the pier of St. Michaels Mount, the sea rose and fell about 4 ft. at the same time. At Newlyn, the sea rose nearly 6 ft. In the Scilly Isles, it rose 4 ft. at this time, the movements continuing for two hours. Along the Irish coasts, the same phenomena mere observed. At Kinsale, at about 6 p.m., the sea rose suddenly 2 ft. and retreated rapidly in 4 min., this being repeated, though to a less estent, several times. At Carrick, at 4 p.m., the surface of the river Suir rose 1 ft. in five minutes. At Dungarvan, the sea ebbed and flowed five times between 4 and 9 p.m. At Waterford, the sea advanced 30 ft. along the shore, while at Ross (Co. Wexford), a violent agitation of the river occurred at 7 p.m. <P>To the south and west, similar movements were observed. At Terceira, in the Azores, the sea rose to a great height and then fell so low that the quays were left dry. At Barbadoes, at about 8.5 hours after the earthquake, the sea, then near low water, suddenly retired from the shore and in about 3 min. returned, rising to the height of nearly 4 ft. This flux and reflux continued until 6 a.m. the next day
<P>(above from reference #516)
<P>1761, March 31, 12:05 local time. 37 N, 10 W, magnitude 6.5, intensity IX, tsunami intensity II. (reference #4139)
<P>On the contrary, the tectonic source of 31 March 1761 remains poorly understood. The seismic catalogues present different earthquake locations: 10.00W, 37.00 N (Mezcua and Solares, 1983) or 10.50W, 36.00 N (Oliveira, 1986). Baptista et al. (2006), used macroseismic intensity data and tsunami travel time observations to locate the source circa 13.00W, 34.50 N and estimated the magnitude in 8.5. The source location obtained by Baptista et al. (2006) places the 1761 event southwest of the Southwest Iberian Margin (SWIM) in the outer part of the Gulf of Cadiz. The plate boundary between Eurasia and Africa is not well defined in the SWIM area, as the deformation is distributed over a large area. (reference #12398)"
278,1653,7,,,,13.1,121.6,SIBUYAN SEA,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,,,1,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/278,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1653, between June 26 and July 23. According to one source, not confirmed by others. the ""San Francisco Xavier"" en route to Manila passing through the San Bernardino Strait and casting anchor on Mindoro Island, felt an earthquake which caused storm waves at sea. The ship was torn from its anchors and damaged (Repetti, 1946; Iida et al., 1967; Cox,1970). [It is difficult to interpret the report; the possibility of a tsunami is not excluded.] <P><blockquote><i>Reference #79:</i></blockquote> 
<P>1653, July. Mindoro, Sibuyan Sea. Anchored galleon set adrift by breaking waves that were caused by an earthquake according to one historical account. Repetti points out that the quake was not mentioned but that three typhoons were mentioned in other accounts. The occurrence of a tsunami is, therefore, considered very doubtful. 
<P><blockquote><i>Reference #3029:</i></blockquote> 
<P>1653, July. Island of Mindoro. Midnight. The Recoleto historian, Father Diego de Santa Teresa, reports an earthquake as follows: ""[The galleon San Francisco Xavier] reached the strait of San Bernardino after a successful voyage, and, passing through it at the risk occasioned by the vicinity of so many islands, anchored near Mindoro. At midnight it was in great danger because an earthquake caused the sea to throw up breaking waves, and the galleon broke from its anchors. It would have been carried to certain destruction if it had not been saved by the Suffering Christ."" DST, p. 243. We learn from the Augustinian historian, Diaz, that the ship entered San Bernardino on June 26 and arrived at Cavite on July 23. He mentions that it was nearly wrecked in a storm off Mindoro and encountered three more typhoons before reaching Manila.
He makes no mention of an earthquake. CD, pp. 527-528. The reality of this earthquake may be reasonably doubted. In order to have the effects on the sea which Santa Teresa describes, the earthquake would have been very strong and could scarcely have escaped notice by other historians."
422,1744,,,,,17,121,N. LUZON ISLAND,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,1,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/422,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1744. In the northern part of Luzon Island there were earthquakes which affected a vast area and lasted several months. The sea entered the river with great force. <P><blockquote><i>Reference #1187:</i></blockquote> 
<P>1744. Northern Luzon: There were widespread earthquakes which lasted for whole months. The sea enters the river with great force. 
<P><blockquote><i>Reference #3029:</i></blockquote> 
<P>1744. Northern Luzon. In the Diccionario Ibanag-Espanol there is mention of earthquakes under the word ALLUYU, meaning great waves, as follows: ""The sea enters the
river with great force ... as happened ... in the year 1744, there were widespread earthquakes which lasted for whole months."" JB, p. 20."
397,1725,3,27,,,-16.6,-72.7,S. PERU,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,50,1.5,Moderate (~$1 to $5 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/397,Shocks were felt along the entire southern coast of Peru right up to Callao. High seas caused much damage in Camana. (reference #415)
256,1642,9,4,,,35.2,140.6,"BOSO, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/256,"Awa (Chiba Pref.), earthquake and tsunami. (reference #150)"
115,1332,2,12,,,40.9,28.9,CONSTANTINOPLE,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.8,,3,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/115,Possibly 1331. An earthquake accompanied by huge sea waves took place (reference #2130).
295,1667,,,,,25,125.5,"MIYAKOJIMA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/295,About 40 a field subsided about 1m and was covered with sea water at Sukama village. (reference #150)
416,1738,7,19,,,36.8,24.4,"MILOS ISLAND, AEGEAN ISLANDS",GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.5,,3,Moderate (~$1 to $5 million),Some (~51 to 100 houses),,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/416,"1738. Milos, 36.8 N, 24.4 E, tsunami intensity III. (reference #416)
<P><B>Note:</B> This tsunami is not listed in the later catalog, reference #2130: Soloviev, Sergey L., Olga N. Solovieva, Chan N. Go, Khen S. Kim, and Nikolay A. Shchetnikov, 2000, Tsunamis in the Mediterranean Sea 2000 B.C.-2000 A.D., Advances in Natural and Technological Hazards Research, Volume 13, Kluwer Academic Publishers, Dordrecht, Netherlands, 237 p."
406,1732,12,4,,,35.2,140.8,"KUJUKURI BEACH, JAPAN",JAPAN,Japan,Earthquake,Probable Tsunami,6.5,,1,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/406,"On December 4, 1732,new tideland field was inundated by a tsunami at Kujukuri Beach. (reference #150)"
404,1732,2,25,,,16.8,-99.9,S. MEXICO,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,,,1.5,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/404,"February 25, 1732. At Acapulco there was a very strong earthquake, which destroyed almost all buildings. It was accompanied by unusual flood and ebb tides at sea. The water rose 3 m, flooded the town square, and then, after a brief state of equilibrium, it retreated. Oscillations in level recurred several times. (reference #415)
<P>Origin believed to be near Acalpulco.  (reference #369)"
384,1711,12,20,,,34.3,134,"SEIONAIKAI, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1,Severe (~>$5 to $24 million),Very Many (~1001 or more houses),Many (~101 to 1000 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/384,"An earthquake occurred at Takamatsu, Kagawa Prefecture; 1,713 homes were destroyed; about 1,000 people died. About 30 recurrent shocks were recorded in the following 24 hours. Ten tsunami waves were observed during the day. (reference #414)"
